"id","name","type","platform","genres","developer","publisher","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"24238","Street Rod","game","Amiga","Driving, Racing","P.Z.Karen, Development Group, Logical Design Works","California Dreams","1989-00-00","day","1989","0","0","1","2.0","3","5.0","","","4","4.1","1","2.0","","","",""
"24242","World's Scariest Police Chases","game","PlayStation","Action, Third-Person, Vehicular Combat","Unique Development Studios","Activision","2001-05-21","day","2001","5","21","14","4.41","3","6.99","3","10.33","20","5.31","14","4.41","","","",""
"24248","Dragon Ball Z: Super Butōden","game","Super Nintendo","Fighting","TOSE Software Co.","Bandai","1993-03-20","day","1993","3","20","10","0.43","3","1.58","2","3.26","15","0.96","10","0.43","","","",""
"24250","Dragon Ball Z: Kyoushuu! Saiyajin","game","NES","Role-Playing","TOSE","Bandai","1990-10-27","day","1990","10","27","1","4.0","","","","","1","4.0","1","4.0","","","",""
"24255","Dragon Ball Z: Taiketsu","game","Game Boy Advance","","","Atari","2003-11-24","day","2003","11","24","13","0.87","1","2.0","3","5.2","17","1.47","13","0.87","","","",""
"24256","Dragon Ball Kai: Ultimate Butouden","game","Nintendo DS","Fighting","Game Republic","Namco Bandai","2011-02-03","day","2011","2","3","4","3.73","4","5.29","1","30.0","9","6.15","4","3.73","","","",""
"24257","Dragon Ball Z","game","Arcade","Fighting","Magical Formation","Banpresto","1993-00-00","day","1993","0","0","1","0.32","","","","","1","0.32","1","0.32","","","",""
"24258","Dragon Ball Z 2: Super Battle","game","Arcade","Fighting","Banpresto","Bandai","1994-00-00","day","1994","0","0","1","0.5","","","","","1","0.5","1","0.5","","","",""
"24260","Bleach DS 4th: Flame Bringer","game","Nintendo DS","Action, Beat Em Up","Dimps Corporation","Sega","2009-08-06","day","2009","8","6","1","6.5","","","","","1","6.5","1","6.5","","","",""
"24261","Bleach GC: Tasogare ni Mamieru Shinigami","game","Nintendo GameCube","Fighting, Side","Polygon Magic","Sega","2005-12-08","day","2005","12","8","8","1.11","","","","","8","1.11","8","1.11","","","",""
"24262","Bleach: Heat the Soul 7","game","PlayStation Portable","Fighting","Eighting","SCEI","2010-09-02","day","2010","9","2","4","1.48","1","4.0","","","5","1.93","4","1.48","","","",""
"24263","J-Stars Victory VS","game","PlayStation 3, PlayStation Vita","Fighting","Spike Chunsoft","Bandai Namco Games","2014-03-19","day","2014","3","19","2","10.0","","","","","2","10.0","2","10.0","","","",""
"24269","Tales of Destiny: Director's Cut","game","PlayStation 2","Action, Role-Playing","Bandai Namco Games","Bandai Namco Games","2008-01-31","day","2008","1","31","18","36.3","8","51.04","","71.75","26","39.9","18","36.3","","","",""
"24270","Tales of the Heroes: Twin Brave","game","PlayStation Portable","Action, Beat Em Up","","Namco Bandai","2012-02-23","day","2012","2","23","2","21.5","1","53.48","","","3","29.58","2","21.5","","","",""
"24271","Falcom Classics","compil","Sega Saturn","Action, Compilation, Real-Time, Role-Playing, Top-Down","Falcom","JVC","1997-11-06","day","1997","11","6","","","1","2.13","","","1","2.13","","","","","",""
"24275","Sengoku Basara 2: Heroes","game","PlayStation 2, Wii","Hack And Slash","Capcom","Capcom","2007-11-29","day","2007","11","29","","","3","30.75","","","3","30.75","","","","","",""
"24284","Kunio-kun no Nekketsu Soccer League","sports","NES","Sports","","Technos","1993-04-23","day","1993","4","23","6","4.38","","","","","6","4.38","6","4.38","","","",""
"24286","Nekketsu! Street Basket: Ganbare Dunk Heroes","game","NES","Arcade","","Technos","1993-12-22","day","1993","12","22","2","2.84","","","","","2","2.84","2","2.84","","","",""
"24290","My Pokémon Ranch","game","Wii","Interactive Art","Ambrella","","2008-06-09","day","2008","6","9","4","1.55","5","7.41","4","15.56","13","7.57","4","1.55","","","",""
"24292","Everybody Dance","game","PlayStation 3","Music/Rhythm","SCE London Studio","Sony Computer Entertainment","2011-10-18","day","2011","10","18","1","4.18","","","","","1","4.18","1","4.18","","","",""
"24294","Run or Die","game","PC","Action","Team Flow","Team Flow","2014-12-11","day","2014","12","11","","","1","9.5","2","31.0","3","24.42","","","","","",""
"24296","Singles: Flirt Up Your Life","game","PC","Simulation","Rotobee","Deep Silver","2003-10-05","day","2003","10","5","1","6.0","","","","","1","6.0","1","6.0","","","",""
