"id","name","type","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"1957","Counter-Strike 2","multiplayer focused","2012-08-21","day","2012.0","8.0","21.0","","","","","","","","","","","","","","721.0"
"1958","Counter-Strike: Source","multiplayer focused","2004-11-01","day","2004.0","11.0","1.0","","","","","","","","","","","14.0","140.0","74.0","284.0"
"2019","CrimeCraft: GangWars","multiplayer focused","2009-08-25","day","2009.0","8.0","25.0","","","","","","","","","","","","","","1497.0"
"2072","Crysis Wars","multiplayer focused","2008-09-16","day","2008.0","9.0","16.0","","","","","","","","","","","","","","15.0"
"2274","Kingdom Wars","multiplayer focused","2013-04","month","2013.0","4.0","","1.0","18.0","","","","","1.0","18.0","1.0","18.0","","","",""
"2284","Day of Defeat: Source","multiplayer focused","2005-09-26","day","2005.0","9.0","26.0","","","","","","","","","","","2.0","42.5","12.0","48.0"
"2292","DC Universe Online","multiplayer focused","2011-01-11","day","2011.0","1.0","11.0","13.0","92.53","7.0","123.83","4.0","309.9","24.0","137.88","13.0","92.53","7.0","64.0","1.0","10.0"
"2721","Dota 2","multiplayer focused","2013-07-09","day","2013.0","7.0","9.0","","","","","","","","","","","25.0","1641.0","77.0","2165.0"
"3057","Eden Eternal(2011)","multiplayer focused","2011-06-16","day","2011.0","6.0","16.0","","","","","","","","","","","","7.0","",""
"3214","Eve Online","multiplayer focused","2003-05-06","day","2003.0","5.0","6.0","","","","","","","","","","","4.0","3361.0","5.0","957.0"
"3220","EverQuest","multiplayer focused","1999-03-16","day","1999.0","3.0","16.0","4.0","593.5","5.0","560.13","","","9.0","574.95","4.0","593.5","","","",""
"3221","EverQuest II","multiplayer focused","2004-11-04","day","2004.0","11.0","4.0","","","","","","","","","","","","1205.0","",""
"3460","FIFA: Road to World Cup 98","multiplayer focused","1997-06-17","day","1997.0","6.0","17.0","","","","","","","","","","","1.0","12.0","2.0","49.0"
"3528","Final Fantasy XI","multiplayer focused","2003-10-28","day","2003.0","10.0","28.0","16.0","111.13","22.0","985.2","4.0","652.52","42.0","620.53","16.0","111.13","","","",""
"3860","Gear Up","multiplayer focused","2015-01-28","day","2015.0","1.0","28.0","","","","","","","","","","","","","","8.0"
"4151","Guardians of Middle-Earth","multiplayer focused","2012-12-04","day","2012.0","12.0","4.0","2.0","1.23","2.0","9.5","1.0","20.0","5.0","8.28","2.0","1.23","","","",""
"4154","Guild Wars 2","multiplayer focused","2012-08-28","day","2012.0","8.0","28.0","41.0","90.52","37.0","263.65","15.0","2091.17","93.0","482.08","41.0","90.52","15.0","992.0","5.0","278.0"
"4155","Guild Wars Factions","multiplayer focused","2006-04-28","day","2006.0","4.0","28.0","","","","","","","","","","","3.0","60.0","1.0","60.0"
"4156","Guild Wars Nightfall","multiplayer focused","2006-10-27","day","2006.0","10.0","27.0","","","","","","","","","","","3.0","59.0","1.0","80.0"
